Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
REBECCA GREGG,University At Albany,"16, 21, 39",–,5,1,0,1,0,0,0,0,0,0
MICHAEL JOZWIAK,Erie Community College,"14, 94","F, RW",5,1,0,1,1,0,0,0,2,0
LUCAS WISE,Cornell University,4,D,5,1,0,1,1,0,0,0,2,0
JACK ROSWER,UNC-Wilmington ACHA D2,13,–,5,1,0,1,0,0,0,0,2,0
JOEY IORIO,Appalachian State,"1, 14, 20",–,5,1,0,1,1,0,0,0,2,0
EVAN FOULDS,Union College,18,D,5,1,0,1,0,0,0,0,2,0
JORDAN FOLTZ,University of South Florida - FCHC,18,–,5,1,0,1,0,0,0,0,4,0
SAMUEL MURRAY,United States Naval Academy,"22, 23",D,6,1,0,1,0,0,0,0,8,0
SPENCER ANDERSON,United States Naval Academy,"18, 19, 5",LW,6,1,0,1,0,0,0,0,0,0
RYAN MAXWELL,University of South Florida - FCHC,15,–,6,1,0,1,0,0,0,0,2,0
MICHAEL GOVONI,Babson College,77,D,6,1,0,1,0,0,0,0,0,0
JACK GARLAND,Mass Maritime Academy,"15, 19",F,6,1,0,1,0,0,0,0,4,0
TOMMY INACIO,East Carolina University,13,C,6,1,0,1,0,0,0,0,4,0
PATRICK CONWAY,Farmingdale State College - D3,71,D,6,1,0,1,0,0,0,0,0,0
JARED STAHLI,Canisius College,8,D,6,1,0,1,0,0,0,0,2,0
LUKE SARGENT,Nichols College,2,"D, LW",6,1,0,1,0,0,0,0,7,0
ZACH VOLINO,University at Buffalo,"34, 82",F,6,1,0,1,0,0,0,0,2,0
CHARLES BONATAKIS,Nichols College,21,D,6,1,0,1,0,0,0,0,0,0
JARET PAWARSKI,University at Buffalo,"28, 29, 34, 91",C,6,1,0,1,0,0,0,0,0,0
AUGUSTUS VALENTE,College of Charleston,4,D,6,1,0,1,0,0,0,0,0,0
CHRISTOPHER PHILLEY,University of Florida (D3),13,F,7,1,0,1,1,0,0,0,13,0
MARK ROBERTS,Babson College,8,C,7,1,0,1,0,0,0,0,2,0
CARLTON LEE,Fairfield University,72,D,7,1,0,1,0,0,0,0,6,0
CHRIS GUIDO,Farmingdale State College - D2,8,LW,7,1,0,1,0,0,0,0,2,0
ANDREW PHAM,University of Florida (D3),12,RW,7,1,0,1,0,0,0,0,0,0
JEFFREY FERNANDEZ,University of Florida (D3),33,RW,7,1,0,1,1,0,0,0,2,0
WILLIAM TERRIO,Nichols College,91,RW,8,1,0,1,0,0,0,0,4,0
ANDREW BUCHANAN,University of Florida,"24, 8",C,8,1,0,1,0,0,0,0,6,0
LOGAN  FILIPIAK,Medaille College,2,"D, F",8,1,0,1,1,0,0,0,6,0
AARON NESTLER,SUNY Brockport,"18, 33, 92",D,9,1,0,1,0,0,0,0,0,0
JACK CLARK,University of Delaware,"1, 16",D,9,1,0,1,0,0,0,0,6,0
BRENDAN CLARKE,"University of South Florida - FCHC , University of South Florida","28, 21",F,9,1,0,1,1,0,0,0,0,0
University of South Florida - FCHC,28,F,3,1,0,1,1,0,0,0,0,0,
University of South Florida,21,F,6,0,0,0,0,0,0,0,0,0,
LIAM MAXSON,Catholic University,19,RW,9,1,0,1,0,0,0,0,4,0
CODY BILBY,Bloomsburg University,28,F,9,1,0,1,0,0,0,0,0,0
PEYTON MCGAFFIGAN,Mass Maritime Academy,"10, 66",D,9,1,0,1,0,0,0,0,0,0
WYATT ROGERS,University of Central Florida,9,F,9,1,0,1,0,0,0,0,6,0
ETHAN BIGELOW,St John Fisher College,"20, 24",C,9,1,0,1,0,0,1,0,0,0
NIKOLAOS BOURAZANIS,University of Maryland Baltimore County,21,F,10,1,0,1,0,0,0,0,16,0
RYAN DAVIS,Cornell University,7,F,10,1,0,1,0,0,0,0,0,0
DEAN JONES,Christopher Newport University,"2, 23, 5",RW,10,1,0,1,0,0,0,0,2,0
CLARK DAVIS,Vanderbilt University,19,D,10,1,0,1,0,0,0,0,0,0
ALEX SISTI,Mercyhurst University,24,F,10,1,0,1,0,0,0,0,0,0
JAKE ANDERSON,Salisbury University,20,D,10,1,0,1,0,0,0,0,2,0
TREVOR WILLOUGHBY RAY,Auburn University,"15, 17",D,10,1,0,1,0,0,0,0,4,0
JOSEPH CONGERO,Farmingdale State College - D3,"51, 89",F,10,1,0,1,0,0,0,0,0,0
PORTER CLANCY,Babson College,20,RW,10,1,0,1,1,0,0,0,0,0
ANDREW DADDARIO,University at Buffalo,"11, 76, 81",F,10,1,0,1,0,0,0,0,8,0
MATTHEW LATELLA,Southern Connecticut State University,"2, 3",D,11,1,0,1,1,0,0,0,23,0
DECLAN ROSS,University of Miami,"24, 99",RW,11,1,0,1,0,0,0,0,4,0
KYLE TEACHOUT,SUNY Brockport,"6, 98",D,11,1,0,1,0,0,0,0,2,0
ETHAN CHI,Vanderbilt University,15,D,12,1,0,1,0,0,0,0,0,0
TRISTAN JOYCE,University of Miami,"12, 14, 2, 21, 44","D, F",12,1,0,1,0,0,0,0,12,0
SEANPATRICK FLYNN,University of New Hampshire - D3,8,F,12,1,0,1,0,0,0,0,7,0
CADE PALLADINO,Southern Connecticut State University,8,RW,12,1,0,1,0,0,1,0,28,0
SHANE COMISKEY,Millersville University,11,D,13,1,0,1,0,0,0,0,0,0
CONNOR HAMELL,University of Tennessee,8,F,13,1,0,1,1,0,0,0,2,0
DYLAN BRIDGES,Southern Connecticut State University,"02, 21",D,13,1,0,1,0,0,0,0,41,0
SAMUEL STOUT,Widener University,"16, 19",C,13,1,0,1,0,0,1,0,4,0
ALEXANDER GRAFF,University At Albany,"19, 33, 39",C,13,1,0,1,0,0,0,0,18,0
LIAM BRENNAN,Mass Maritime Academy,"3, 68",F,13,1,0,1,0,0,0,0,2,0
IAN FEYGELS,Stony Brook University,3,D,13,1,0,1,1,0,0,0,8,0
ANDREW MARSH,Niagara University,20,RW,13,1,0,1,0,0,0,0,6,0
CHANDLER HORN,Millersville University,26,D,13,1,0,1,0,0,0,0,2,0
JACOB NORGARD,Penn St. Behrend,12,–,14,1,0,1,0,0,1,0,2,0
NICK KIEFFER,St John Fisher College,10,F,14,1,0,1,0,0,0,0,0,0
RYAN BRAGLIA,SUNY Cortland,14,F,14,1,0,1,0,0,0,0,0,0
DAVID  LITTLEFIELD,University at Buffalo,"33, 89",F,14,1,0,1,0,0,0,0,6,0
NICHOLAS DERIU,Southern Connecticut State University,"13, 28",RW,15,1,0,1,0,0,0,0,12,0
THOMAS KONDRACKI,High Point University,50,D,15,1,0,1,0,0,0,0,6,0
ERIC MILES,Ramapo College,"14, 77",LW,17,1,0,1,0,0,0,0,2,0
CARSON SANDS,Penn State University - Harrisburg,16,F,18,1,0,1,1,0,0,0,8,0
ETHAN TERLIAMIS,Florida State University,"22, 27, 29, 33","F, LW",19,1,0,1,1,0,0,0,2,0
LOGAN CONNELLY,St. Vincent's College,24,LW,1,0,1,1,0,1,0,0,0,0
KYLE WOODARD,Niagara County Community College,8,–,1,0,1,1,0,0,0,1,0,0
DANTE CATALDO,Quinnipiac University,8,D,1,0,1,1,0,1,0,0,2,0
ANDREW GREENIER,University of Maine,18,D,1,0,1,1,0,0,0,0,0,0
KYLE LEVY,UNC-Wilmington ACHA D2,6,–,1,0,1,1,0,0,0,0,0,0
CHRISTIAN HARTLING,University of Maine,13,D,1,0,1,1,0,1,0,0,0,0
MARCUS DUNN,University of Maine,20,F,1,0,1,1,0,0,0,0,2,0
JONAH AHRENS,Canisius College (ACHA D1),28,–,1,0,1,1,0,0,0,0,0,0
RYAN SULLIVAN,Bentley University,13,–,1,0,1,1,0,0,0,0,0,0
RYAN NOONAN,Bentley University,16,–,1,0,1,1,0,0,0,0,0,0
PAT BRADY,Bentley University,18,–,1,0,1,1,0,0,0,0,0,0
GERARD JELLOE,Bentley University,19,–,1,0,1,1,0,0,0,0,0,0
MASON VERSAGE,Canisius College (ACHA D1),34,–,1,0,1,1,0,0,0,0,0,0
ZACH WASYLAK,Bentley University,26,F,1,0,1,1,0,0,0,0,0,0
TURNER HEITMAN,College of Charleston,19,–,1,0,1,1,0,0,0,0,0,0
RYAN BAXTER,Coastal Carolina University,24,–,1,0,1,1,0,0,0,0,0,0
ARMAND OKEEFE,University of Maine,7,F,1,0,1,1,0,0,0,0,0,0
TYLER MURRAY,SUNY Cortland,15,F,1,0,1,1,0,0,0,0,0,0
CHRIS  KOLODZIEJ,University of Maine,2,D,1,0,1,1,0,0,0,0,0,0
JACOB NORTON,George Washington University,5,F,1,0,1,1,0,0,0,0,0,0
HANNAH HAMILTON,John Hopkins University,10,–,1,0,1,1,0,0,0,0,0,0
LAURA PAN,John Hopkins University,16,–,1,0,1,1,0,0,0,1,0,0
JACK ROSWER,UNC-Wilmington ACHA D2,13,F,1,0,1,1,0,0,0,0,0,0
CHRIS GUYETTE,Bentley University,5,–,1,0,1,1,0,0,0,1,0,0
GABE DARRAGH,West Chester University ACHA D2,11,D,1,0,1,1,0,1,0,0,0,0
BEN  BROWN,Southern New Hampshire University,63,–,1,0,1,1,0,0,0,0,2,0
ADAM JOHNSON,West Chester University ACHA D2,16,D,1,0,1,1,0,0,0,0,6,0
MATT HOLLAND,Niagara County Community College,61,–,1,0,1,1,0,0,0,0,0,0
ANTHONY GRENAU,Niagara County Community College,27,LW,1,0,1,1,0,0,0,0,0,0
HUNTER NEISS,West Chester University ACHA D2,24,F,1,0,1,1,0,0,0,0,0,0
JACK  THIBEDEU,Southern New Hampshire University,11,–,1,0,1,1,0,0,0,0,0,0
JACK BULESA,Virginia Tech University,5,–,1,0,1,1,0,0,0,0,0,0
ZACK LEVER,Southern New Hampshire University,4,–,1,0,1,1,0,0,0,0,0,0
DYLAN STORZ,West Chester University ACHA D2,27,F,1,0,1,1,0,1,0,0,0,0
TRAVIS VANDASEY,Niagara County Community College,18,–,1,0,1,1,0,0,0,0,0,0
CAMEN WYLAYKAS,Niagara County Community College,17,–,1,0,1,1,0,0,0,0,0,0
NICK MESSURO,Virginia Tech University,11,–,1,0,1,1,0,1,0,0,0,0
MATTHEW LONGFIELD,Fairfield University,11,F,1,0,1,1,0,0,0,0,4,0
D EBERLY,University of Georgia,2,F,1,0,1,1,0,0,0,0,2,0
CLAY PATACHAY,Virginia Tech University,18,–,1,0,1,1,0,0,0,0,0,0
JOHN DIFILIPPO,University of Tampa - FCHC,92,F,1,0,1,1,0,0,0,0,2,0
SEBASTIAN BUCKLEY,Bucknell University,42,F,1,0,1,1,0,0,0,0,0,0
JAMES WALSH,Franklin & Marshall College,5,–,1,0,1,1,0,0,0,0,0,0
THEO VELA,Millersville University,12,–,1,0,1,1,0,0,0,0,0,0
NICK KARLSSON,George Washington University,11,F,1,0,1,1,0,0,0,0,0,0
SAM  KASPER,Appalachian State,18,D,1,0,1,1,0,1,0,0,0,0
SAM KASPER,Appalachian State,18,D,1,0,1,1,0,0,0,0,0,0
ANTONIO VIDAL,Alfred State College,7,D,1,0,1,1,0,0,0,0,0,0
BRENDAN CLARKE,University of South Florida - FCHC,28,–,1,0,1,1,0,1,0,0,0,0
CAM ADAMES,Seton Hall University,3,D,1,0,1,1,0,0,0,0,2,0
JOSEPH ANTONACCI,SUNY Maritime - MCHC,24,–,1,0,1,1,0,1,0,0,6,0
CAM TOUSSANT,Seton Hall University,4,D,1,0,1,1,0,0,0,0,0,0
RYAN UHLHORN,Seton Hall University,5,–,1,0,1,1,0,1,0,0,0,0
JOE WOGISCH,University at Delaware - D2,24,F,1,0,1,1,0,0,0,0,0,0
NOAH RARR,St. Thomas Aquinas College,11,–,1,0,1,1,0,0,0,0,0,0
LARRY HOOPER,University at Delaware - D2,6,F,1,0,1,1,0,0,0,0,0,0
EVAN YORI,Millersville ACHA D2,22,–,1,0,1,1,0,0,0,0,2,0
TREVOR QUIGLEY,Kings Point Merchant Marine Academy - MCHC,2,–,1,0,1,1,0,0,0,0,0,0
JACK KELLER,University at Delaware - D2,5,D,1,0,1,1,0,0,0,0,0,0
CONOR DUFFY,Kings Point Merchant Marine Academy - MCHC,4,–,1,0,1,1,0,0,0,0,0,0
ELIAS LOUNTZIS,Millersville ACHA D2,16,F,1,0,1,1,0,1,0,0,2,0
CADE LIEWECUN,George Washington University,2,D,1,0,1,1,0,0,0,0,0,0
DENNIS KOHAJDA,Millersville ACHA D2,5,D,1,0,1,1,0,1,0,0,0,0
COPPER MAY,George Washington University,21,F,1,0,1,1,0,0,0,0,0,0
CONNOR HANSEN,LeMoyne College,16,D,1,0,1,1,0,0,0,0,2,0
CHARLES TANICO,LeMoyne College,61,C,1,0,1,1,0,0,0,0,2,0
KEVIN STEFANICK,Kings Point Merchant Marine Academy - MCHC,7,–,1,0,1,1,0,0,0,0,0,0
ROB GOETZE,Sacred Heart University - MCHC,2,–,1,0,1,1,0,0,0,0,2,0
GRIFFIN FERREIRA,Sacred Heart University - MCHC,5,–,1,0,1,1,0,0,0,0,0,0
AIDAN WOJIECHOWSKI,Niagara University,4,D,1,0,1,1,0,0,0,0,0,0
MIKE ZDANOWICZ,Sacred Heart University - MCHC,15,–,1,0,1,1,0,1,0,0,0,0
JAMES SPOGIN,Georgetown University ACHA D2,9,–,1,0,1,1,0,0,0,0,0,0
PETER KURCH,Georgetown University ACHA D2,13,–,1,0,1,1,0,0,0,0,0,0
MIKE BENEDETTI,UNC-Wilmington ACHA D2,93,–,1,0,1,1,0,0,0,0,0,0
TUCKER T,New England College,12,F,1,0,1,1,0,1,0,0,0,0
LOGAN ROUX,LeMoyne College,12,LW,1,0,1,1,0,0,0,0,0,0
BRENDAN UMSCHIED,UNC-Wilmington ACHA D2,24,–,1,0,1,1,0,0,0,0,0,0
JOE B,Georgetown University ACHA D2,25,–,1,0,1,1,0,0,0,0,0,0
WYATT RODGERS,University of Central Florida,9,–,1,0,1,1,0,0,0,0,0,0
SANTA YOUNGCLAUS,Bentley University,4,D,1,0,1,1,0,0,0,0,0,0
MATT CORNENE,Coastal Carolina University,14,–,2,0,1,1,0,0,0,0,2,0
MASON PERAGINE,Western Connecticut State University - MCHC,23,–,2,0,1,1,0,0,0,0,6,0
ROLAND MANN,University of Alabama - Huntsville,3,RW,2,0,1,1,0,0,0,0,0,0
DALTON MCCANN,St. Joseph's of Maine,37,–,2,0,1,1,0,0,0,0,20,0
HAUKEN BARBER,University of South Florida - FCHC,"21, 24",–,2,0,1,1,0,0,0,0,2,0
JUSTIN LALLACK,Coastal Carolina University,2,D,2,0,1,1,0,1,0,0,2,0
PAT CONDELLO,Rowan University,12,F,2,0,1,1,0,1,0,0,0,0
JOSEPH ZACHARY,Medaille College,16,F,2,0,1,1,0,0,0,0,0,0
MATT GANDY,Rowan University,15,D,2,0,1,1,0,0,0,0,0,0
MATT MELDRUM,Rowan University,27,F,2,0,1,1,0,0,0,0,4,0
ROBERT SPECK,Union College,1,D,2,0,1,1,0,0,0,0,2,0
TORIN SMITH,University of Georgia,38,F,2,0,1,1,0,0,0,0,0,0
ROBERT CAGLIOSTRO,Old Dominion University,5,F,2,0,1,1,0,0,0,0,0,0
ANDREW KRIVITSKIY,Montgomery College,63,F,2,0,1,1,0,0,0,0,0,0
BRADY PARKINSON,California University of Pennsylvania,21,F,2,0,1,1,0,1,0,0,2,0
ERIC TROMMER,Suffolk Community College - MCHC,24,–,2,0,1,1,0,0,0,0,4,0
RYAN HAHN,Buffalo State College,22,D,2,0,1,1,0,0,0,0,4,0
KEN FERRARA,Coastal Carolina University,16,–,2,0,1,1,0,0,0,0,4,0
MATT CALENZO,Colgate University,"20, 6",–,2,0,1,1,0,0,0,0,2,0
JACK FABIANI,University of Maryland (D3),2,–,2,0,1,1,0,0,0,1,0,0
JUSTIN DAY,California University of Pennsylvania,9,F,2,0,1,1,0,0,0,0,4,0
TRENT KADIN,Colgate University,27,F,2,0,1,1,0,0,0,0,0,0
ANDREAS BARRETTA,University of Mary Washington,11,–,2,0,1,1,0,0,0,0,0,0
DYLAN WIT,Sacred Heart University,28,C,2,0,1,1,0,0,0,0,0,0
NICHOLAS DONNELLY,Rowan University,2,F,2,0,1,1,0,0,0,0,0,0
ADAM BRENNAN,Buffalo State College,88,D,2,0,1,1,0,0,0,1,2,0
RYAN ROMBAUTS,Suffolk Community College - MCHC,17,–,2,0,1,1,0,0,0,0,2,0
COLE GRECKI,Suffolk Community College - MCHC,8,–,2,0,1,1,0,0,0,1,2,0
JACK MCDONALD,SUNY Geneseo,78,D,2,0,1,1,0,0,0,0,10,0
FRANK VIGILETTI,Western Connecticut State University - MCHC,6,–,2,0,1,1,0,0,0,0,0,0
COOPER VOREL,College of William & Mary,0,–,2,0,1,1,0,0,0,0,4,0
TEDDY MACRI,Bucknell University,15,D,2,0,1,1,0,1,0,0,0,0
JOSEPH IORIO,Appalachian State,"1, 20",LW,2,0,1,1,0,0,0,0,0,0
EFAN OSTROWSHI,Suffolk Community College - MCHC,10,–,2,0,1,1,0,0,0,0,2,0
ALEX SAWHNEY,High Point University,6,F,2,0,1,1,0,0,0,0,4,0
MARK HAGER,Buffalo State College,93,F,2,0,1,1,0,0,0,0,2,0
JARED HUNTER,Brown University,11,–,3,0,1,1,0,1,0,0,0,0
NICK CAPOZZI,Mercyhurst University,35,F,3,0,1,1,0,0,0,0,0,0
ZACHARY SCHREMMER,University of Rochester,21,D,3,0,1,1,0,1,0,0,2,0
CHRIS CECLLA,Brown University,6,–,3,0,1,1,0,0,0,0,4,0
NOAH EHRHARDT,Brown University,4,–,3,0,1,1,0,0,0,0,2,0
RAFE BATCHELOR,Columbia University - MCHC,5,F,3,0,1,1,0,0,0,0,0,0
GRIFFIN TULLY,Bucknell University,63,D,3,0,1,1,0,0,0,0,2,0
JADEN GARRICK,University of Pittsburgh at Bradford,"26, 88",D,3,0,1,1,0,0,0,0,0,0
MICHAEL BAEHRE,Gettysburg College,6,RW,3,0,1,1,0,0,0,0,6,0
JAKE AHU,Brown University,0,–,3,0,1,1,0,1,0,0,2,0
SAKURA KLEIN,Susquehanna University,41,F,3,0,1,1,0,0,0,0,0,0
MATT DIMARTINO,Sacred Heart University,"22, 48",D,3,0,1,1,0,0,0,0,2,0
BLAKE RUSSO,Niagara County Community College,3,F,3,0,1,1,0,0,0,0,2,0
JAKE CABALLERO,Sacred Heart University,24,D,3,0,1,1,0,1,0,0,0,0
C OSCANNLAIN,Wake Forest University ACHA D2,28,–,3,0,1,1,0,0,0,0,0,0
COLE CARDONE,Appalachian State,10,D,3,0,1,1,0,0,0,0,0,0
DAVID WILLIS,Union College,29,C,3,0,1,1,0,0,0,0,0,0
BRADY CALLAHAN,Bucknell University,24,D,3,0,1,1,0,0,0,0,4,0
TOM LOMBARSOZZI,Elon University ACHA D2,12,D,3,0,1,1,0,0,0,0,2,0
ALEX BUTLER,Ithaca College,14,–,3,0,1,1,0,0,0,0,2,0
DAVID CANALES,"St. Thomas Aquinas College , Stevens Institute of Technology - MCHC",43,–,3,0,1,1,0,0,0,0,2,0
St. Thomas Aquinas College,43,–,1,0,0,0,0,0,0,0,0,0,
Stevens Institute of Technology - MCHC,43,–,2,0,1,1,0,0,0,0,2,0,
E SMITH,Wake Forest University ACHA D2,13,F,3,0,1,1,0,0,0,0,0,0
R SIFFRINGER,Wake Forest University ACHA D2,15,–,3,0,1,1,0,0,0,0,0,0
MICHAEL BUETI,Ithaca College,9,–,3,0,1,1,0,0,0,0,0,0
PAUL RORKE,Mass Maritime Academy,10,F,3,0,1,1,0,0,0,0,0,0
JOEY GEISENDORFER,College of William & Mary,3,D,3,0,1,1,0,0,0,0,0,0
JASON ENGLISH,Farmingdale State College - D3,28,RW,3,0,1,1,0,0,0,1,0,0
TJ SCHAFFER,Columbia University - MCHC,19,F,3,0,1,1,0,0,0,0,2,0
MAX BEERS,College of William & Mary,"27, 37",LW,3,0,1,1,0,0,0,0,0,0
MICHAEL O'LEARY,College of William & Mary,"82, 88",D,3,0,1,1,0,0,0,0,4,0
BRENDEN PATTERSON,Anna Maria College,19,F,3,0,1,1,0,0,0,0,5,0
KEVIN ANDERSEN,St. Joseph's of Maine,13,–,3,0,1,1,0,0,0,0,10,0
NATHANIEL HRICHAN,Erie Community College,15,F,3,0,1,1,0,0,0,0,0,0
JACKSON MILLER,University at Buffalo,"26, 28, 71",LW,3,0,1,1,0,0,0,0,0,0
ANDREW MACINNES,"St. Thomas Aquinas College , Stevens Institute of Technology - MCHC",7,–,3,0,1,1,0,1,0,0,2,0
St. Thomas Aquinas College,7,–,1,0,0,0,0,0,0,0,0,0,
Stevens Institute of Technology - MCHC,7,–,2,0,1,1,0,1,0,0,2,0,
STEVEN TOLLANDER,Old Dominion University,17,F,3,0,1,1,0,0,0,0,2,0
EVAN ABEL,"St. Thomas Aquinas College , Stevens Institute of Technology - MCHC",11,–,3,0,1,1,0,0,0,0,0,0
St. Thomas Aquinas College,11,–,1,0,1,1,0,0,0,0,0,0,
Stevens Institute of Technology - MCHC,11,–,2,0,0,0,0,0,0,0,0,0,
AARON STRADER,Salisbury University,89,"D, F",3,0,1,1,0,0,0,0,0,0
IAN FRANKEL,Columbia University - MCHC,97,F,3,0,1,1,0,0,0,0,0,0
BLAKE THOMAS,Union College,20,C,4,0,1,1,0,0,0,0,0,0
HAYDEN WHITE,Middle Tennessee State University,59,D,4,0,1,1,0,0,0,0,0,0
JOSEPH BENTING,Mass Maritime Academy,23,D,4,0,1,1,0,0,0,0,2,0
DYLAN JANNARONE,Paul Smiths College,5,D,4,0,1,1,0,0,0,0,4,0
ROBERT HASSEL,LaSalle University,47,F,4,0,1,1,0,0,0,0,0,0
MICHAEL HANSEN,Paul Smiths College,"4, 44","D, F",4,0,1,1,0,0,0,0,4,0
ADAM SCHMITT,University of Florida (D3),42,LW,4,0,1,1,0,1,0,0,0,0
JORDAN KELLEY,University of Florida (D3),66,F,4,0,1,1,0,1,0,0,4,0
JARED RIVARD,Nichols College,34,F,4,0,1,1,0,0,0,0,0,0
BENJAMIN SCHREINER,American University,25,D,4,0,1,1,0,0,0,0,0,0
RUBEN RODRIQUEZ,University of Maryland (D3),26,D,4,0,1,1,0,0,0,0,2,0
HAYDEN KIM,University of Maryland (D3),98,D,4,0,1,1,0,0,0,0,2,0
MARC SHULMAN,American University,7,"D, LW",4,0,1,1,0,0,0,0,2,0
NIKOLAS DREICER,Auburn University,28,F,4,0,1,1,0,0,0,0,0,0
SEAN MARREN,Canisius College,8,D,4,0,1,1,0,0,0,0,0,0
JACOB HENSE,Appalachian State,"3, 94",F,4,0,1,1,0,0,0,0,6,0
JOSEPH YAROS,St Bonaventure University,63,F,4,0,1,1,0,0,0,0,0,0
BAYLEE DALBA,SUNY Geneseo,94,F,4,0,1,1,0,0,0,0,2,0
ANTONY GEORGIADIS,University of Rochester,"4, 98",D,4,0,1,1,0,0,0,1,0,0
ANTHONY SCARPELLO,University At Albany,23,F,4,0,1,1,0,0,0,0,0,0
MAXWELL MCNALLY,SUNY Geneseo,"1, 4, 77",RW,4,0,1,1,0,0,0,0,0,0
THEO ROSE,SUNY Geneseo,37,D,4,0,1,1,0,0,0,0,2,0
JACK FITZGERALD,Coastal Carolina University,23,F,4,0,1,1,0,0,0,0,0,0
JASON BONANTE,Sacred Heart University,47,D,4,0,1,1,0,0,0,0,2,0
SCOTT HERMAN,Florida Atlantic University,"13, 56",D,4,0,1,1,0,0,0,0,2,0
TIMOTHY FLEURY,High Point University,26,F,4,0,1,1,0,0,0,0,11,0
ERIC BIDEMA,The Citadel,8,F,4,0,1,1,0,0,0,0,4,0
MATTHEW COOPER,Florida State University,41,D,4,0,1,1,0,0,0,0,10,0
CODY LUBIC,University of Tennessee,55,F,4,0,1,1,0,1,0,0,2,0
JOSH DAVIS,UNC-Wilmington ACHA D2,97,–,5,0,1,1,0,0,0,0,0,0
TRISTAN SHELHAMER,SUNY Cortland,"0, 13, 15","C, F",5,0,1,1,0,1,0,0,0,0
JACOB HUMBLE,Appalachian State,77,C,5,0,1,1,0,0,0,0,6,0
BRIAN GORMAN,Erie Community College,"10, 97",F,5,0,1,1,0,0,0,0,4,0
HUNTER MULVEY,Union College,13,D,5,0,1,1,0,0,0,0,0,0
CARMINE EMILIO,University of Miami,20,D,5,0,1,1,0,0,0,0,2,0
ALEXANDER NAYA,Union College,86,F,5,0,1,1,0,0,0,0,0,0
CLAYTON WEHR,Canisius College,"17, 21",D,5,0,1,1,0,1,0,0,8,0
ZACHARY ZAPATA,University of Binghamton,21,D,5,0,1,1,0,0,0,0,2,0
TARENCE GRANT,UNC-Wilmington ACHA D2,71,–,5,0,1,1,0,0,0,0,12,0
TIM REATH,UNC-Wilmington ACHA D2,"5, 6",–,5,0,1,1,0,0,0,0,0,0
LUKE GENEWICK,SUNY Geneseo,"18, 28, 4",D,5,0,1,1,0,0,0,0,4,0
JAMES MORRISSON,Neumann University,"11, 9",–,5,0,1,1,0,0,0,0,4,0
ETHAN CAIN,Embry-Riddle University - FCHC,71,F,5,0,1,1,0,0,0,0,8,0
GRIFFIN MARTIN,Babson College,98,D,5,0,1,1,0,0,0,1,7,0
LEWIE SCHACHT,University of Florida (D3),82,F,5,0,1,1,0,1,0,0,0,0
ANTHONY VOGEL,LaSalle University,8,RW,5,0,1,1,0,0,0,0,0,0
DYLAN STAHL,Coastal Carolina University,5,D,5,0,1,1,0,0,0,0,0,0
JAKE BAUDO,Canisius College,18,D,5,0,1,1,0,1,0,0,4,0
MATTHEW CORNING,Coastal Carolina University,14,D,5,0,1,1,0,0,0,0,0,0
HAKAN LOGANII,Erie Community College,"28, 86",D,5,0,1,1,0,1,0,0,4,0
JUSTIN PASCHKE,Union College,21,F,6,0,1,1,0,0,0,0,0,0
ANDREW MCCARTHY,Nichols College,78,D,6,0,1,1,0,0,0,0,4,0
TYLER COOK,University of South Florida - FCHC,9,D,6,0,1,1,0,0,0,0,0,0
WILLIAM MULLENNEX,East Carolina University,3,D,6,0,1,1,0,0,0,0,4,0
JASON SPIEGELMAN,Nichols College,45,D,6,0,1,1,0,0,0,0,10,0
GRAYSON NYDISH,LaSalle University,29,F,6,0,1,1,0,0,0,0,0,0
TYLER FUENFSTUECK,Niagara University,16,LW,6,0,1,1,0,0,0,0,2,0
CARTER HARVEY,Lynn University,"24, 4",F,6,0,1,1,0,0,0,0,6,0
CASEY KOENIG,Niagara University,27,F,6,0,1,1,0,0,0,0,0,0
GAVIN VOGEL,Franklin & Marshall College,2,D,6,0,1,1,0,0,0,0,4,0
LARS BENNER,John Hopkins University,6,RW,6,0,1,1,0,0,0,0,2,0
JOEL THORSEN,Bloomsburg University,27,LW,6,0,1,1,0,0,0,1,14,0
BRADLEY CHRISTMAN,University of Florida (D3),25,LW,6,0,1,1,0,0,0,0,0,0
HERMAN LUI,University of Miami,"28, 33, 52, 99",LW,6,0,1,1,0,0,0,0,0,0
KEVIN LENNON,SUNY Cortland,"13, 2, 27, 7",D,6,0,1,1,0,0,0,1,0,0
